x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
2 4 3.0019 2.2352 0.3432 0.0327 4.6381 0.4138 2.1012 0.2428 1.8075 0.4011 0.0332 0.3857 -725.9688 0.9349 1 1 0 0 0 0 0
4 4 nan nan 0.2321 0.0357 1.5577 0.3833 2.6444 0.4140 1.5382 0.5142 0.0243 0.0005 -775.2302 1.5268 1 1 0 0 0 0 0
5 4 nan nan 0.3416 0.0324 6.0377 0.1933 2.6746 0.2828 2.2903 0.4827 0.0209 0.0900 -787.1490 1.0628 1 1 0 0 0 0 0
6 4 nan nan 0.1161 0.0222 1.5662 0.5260 2.5008 0.5820 0.7279 0.3409 0.0172 0.6529 -824.7437 1.0855 1 1 0 0 0 0 0
7 4 nan nan 0.2309 0.0184 3.0861 0.1478 2.1708 0.1987 1.2564 0.2245 0.0079 0.1592 -999.2024 1.3262 2 1 0 0 0 0 0
7 4 nan nan 0.0540 0.0080 -11.2808 0.6281 2.2013 0.3683 0.2981 0.1014 0.0079 0.1592 -999.2024 1.3262 2 1 0 0 0 0 0
8 4 nan nan 0.8757 0.0188 5.1128 0.0870 2.1773 0.0733 4.7794 0.2669 0.0137 0.0077 -900.8989 1.3954 2 1 0 0 0 0 1
8 4 nan nan 0.1309 0.0103 -10.3072 0.6821 6.7516 0.7696 2.2148 0.4462 0.0137 0.0077 -900.8989 1.3954 2 1 0 0 0 0 1
9 4 nan nan 0.5334 0.0071 -0.3763 0.9472 1.7236 0.6971 2.3044 0.9753 0.0529 0.0387 -581.8505 1.2218 1 1 0 0 0 0 1
10 4 nan nan 0.2060 0.0226 -4.7446 0.8602 6.7832 0.8602 3.5034 0.8777 0.0304 0.0135 -674.3525 1.7079 1 1 0 0 1 0 0
11 4 nan nan 0.5564 0.0521 1.7925 0.0404 2.4181 0.0556 3.3726 0.4009 0.0044 0.0000 -1511.6157 1.8635 1 1 0 0 0 0 0
12 4 nan nan 0.3624 0.0223 3.2500 0.1344 2.0683 0.1477 1.8788 0.2582 0.0078 0.0007 -1029.4288 1.1245 2 1 0 0 0 0 0
12 4 nan nan 0.0336 0.0067 -37.3085 1.5988 6.9199 1.5988 0.5821 0.2779 0.0078 0.0007 -1029.4288 1.1245 2 1 0 0 0 0 0
13 4 nan nan 0.4321 0.0424 -0.6191 0.4375 3.8653 0.4382 4.1864 0.9318 0.0456 0.5347 -626.7521 1.1245 1 1 0 0 0 0 0
14 4 nan nan 0.3236 0.0463 1.2006 0.4782 2.2476 0.3906 1.8233 0.6233 0.0371 0.3483 -713.5718 1.2096 1 1 0 0 0 0 0
15 4 nan nan 0.2287 0.0265 1.8282 0.2347 2.3921 0.3391 1.3713 0.3759 0.0147 0.0004 -842.9000 1.0582 1 1 0 0 0 0 0
16 4 nan nan 1.4662 0.3913 -9.8191 0.5240 2.4255 0.8045 8.9142 6.1246 0.2199 0.0000 -267.7119 1.4908 1 1 0 0 0 0 0
1 5 2.0016 3.1623 1.2424 0.0075 -0.3435 0.8158 1.7215 0.5817 5.3613 1.8553 0.1098 0.0055 -451.4054 1.0049 1 1 0 0 0 0 0
2 5 3.0025 2.6448 0.0671 0.0118 9.9029 4.0780 20.0881 4.0780 3.3779 1.4001 0.0262 0.0000 -675.0934 2.1457 1 1 0 0 0 1 0
3 5 4.0023 1.4109 0.1649 0.0178 -1.2355 0.8592 6.9036 0.8592 2.8543 0.7011 0.0234 0.0000 -739.7244 1.9986 1 1 0 0 1 0 0
4 5 nan nan 0.4239 0.0122 4.6220 0.1300 2.0406 0.0735 2.1684 0.1425 0.0115 0.0306 -882.9800 1.3937 1 1 0 0 0 0 0
5 5 nan nan 1.0609 0.1183 3.4884 0.2676 1.7412 0.2070 4.6304 1.1282 0.0293 0.0019 -732.7683 1.1608 2 1 0 0 0 0 0
5 5 nan nan 0.1957 0.0295 -15.1894 0.5715 2.5695 0.4085 1.2605 0.4204 0.0293 0.0019 -732.7683 1.1608 2 1 0 0 0 0 0
6 5 nan nan 0.6620 0.4263 3.2782 0.9339 1.8679 0.9493 3.0998 4.5855 0.0879 0.3069 -490.2737 1.0258 1 1 0 0 0 0 0
7 5 nan nan 0.3845 0.0347 2.7186 0.2224 2.7614 0.2988 2.6614 0.5539 0.0252 0.1485 -750.4006 1.2033 1 1 0 0 0 0 0
9 5 nan nan 0.2850 0.0056 1.8406 0.1640 3.4263 0.1694 2.4479 0.1716 0.0118 0.0015 -948.8836 1.2541 1 1 0 0 0 0 0
10 5 nan nan 0.5444 0.0017 1.9618 0.1629 2.8793 0.1974 3.9294 0.2822 0.0250 0.0013 -743.6410 1.5328 2 1 0 0 0 0 0
10 5 nan nan 0.2958 0.0246 -15.1894 0.3361 3.3950 0.3190 2.5171 0.4659 0.0250 0.0013 -743.6410 1.5328 2 1 0 0 0 0 0
11 5 nan nan 0.2516 0.0632 3.0672 0.3502 2.1316 0.5030 1.3441 0.7347 0.0173 0.0035 -831.6196 1.2301 2 1 0 0 0 0 0
11 5 nan nan 0.0853 0.0161 -6.1226 1.7310 4.8960 1.8162 1.0464 0.6591 0.0173 0.0035 -831.6196 1.2301 2 1 0 0 0 0 0
13 5 nan nan 0.4173 0.0295 2.0398 0.1525 2.6183 0.2244 2.7387 0.4452 0.0059 0.0000 -874.8347 18.0255 1 1 0 0 0 0 0
14 5 nan nan 0.5660 0.0192 4.0993 0.1500 2.0869 0.0863 2.9608 0.2271 0.0182 0.2350 -789.8899 1.4725 1 1 0 0 0 0 0
15 5 nan nan 0.7188 0.0408 0.7555 0.3132 1.7725 0.1580 3.1935 0.4822 0.0335 0.2623 -672.9733 1.2559 1 1 0 0 0 0 0
16 5 nan nan 0.3493 0.0711 2.6648 0.3736 2.5221 0.6344 2.2084 1.1180 0.0445 0.2844 -626.2755 1.0550 1 1 0 0 0 0 0
17 5 nan nan 0.2539 0.0413 -10.2773 2.3645 12.5986 2.3645 8.0195 3.0527 0.0733 0.0000 -517.4894 1.6353 1 1 0 0 1 1 0
0 6 1.0000 3.6061 0.2088 0.0072 1.3681 1.5220 2.0688 1.5247 1.0828 0.8632 0.0051 0.1361 -1498.8939 1.2093 2 1 0 0 0 0 0
0 6 1.0000 3.6061 0.0510 0.1900 -8.3677 8.9453 1.8998 8.8353 0.2427 6.2425 0.0051 0.1361 -1498.8939 1.2093 2 1 0 0 0 0 0
1 6 2.0019 3.4643 0.3798 0.0030 3.1529 0.2319 2.6515 0.2738 2.5241 0.2826 0.0254 0.0549 -782.0342 1.2322 3 1 2 0 0 0 0
1 6 2.0019 3.4643 0.1305 0.0252 -21.6911 0.8459 3.5008 0.9601 1.1452 0.5956 0.0254 0.0549 -782.0342 1.2322 3 1 2 0 0 0 0
1 6 2.0019 3.4643 0.2007 0.0299 -9.5921 0.5009 3.0176 0.6857 1.5178 0.6221 0.0254 0.0549 -782.0342 1.2322 3 1 2 0 0 0 0
2 6 3.0032 2.9991 0.1997 0.0272 -1.2352 0.9767 6.2105 0.9767 3.1086 0.9787 0.0357 0.0047 -657.0120 1.4602 1 1 0 0 0 0 0
3 6 4.0032 1.9970 0.2251 0.0403 -2.1388 2.5806 12.4719 2.5806 7.0371 2.9778 0.0724 0.0000 -525.2672 1.7744 1 1 0 0 0 1 0
4 6 nan nan 0.8782 0.0612 4.6344 0.3729 1.8359 0.1911 4.0415 0.7319 0.0558 0.1966 -592.5942 1.0446 1 1 0 0 0 0 0
5 6 nan nan 0.4277 0.0231 4.3240 0.2315 2.1836 0.1345 2.3411 0.2786 0.0238 0.0760 -770.7502 1.1080 1 1 0 0 0 0 0
7 6 nan nan 0.4551 0.0457 4.8196 0.3677 2.4780 0.2749 2.8265 0.6290 0.0450 0.2146 -614.8177 1.2254 1 1 0 0 0 0 0
8 6 nan nan 0.2895 0.0434 1.8063 0.3818 3.0122 0.4222 2.1856 0.6800 0.0301 0.0460 -703.8589 1.2322 1 1 0 0 0 0 0
9 6 nan nan 1.3313 0.1310 3.5259 0.2650 1.7743 0.2003 5.9207 1.3168 0.0420 0.2159 -657.2776 1.2827 2 1 0 0 0 0 0
9 6 nan nan 0.3010 0.0416 -8.7986 0.5235 3.3629 0.5552 2.5375 0.8276 0.0420 0.2159 -657.2776 1.2827 2 1 0 0 0 0 0
10 6 nan nan 0.9149 0.0772 8.3327 0.3255 2.4629 0.2208 5.6482 1.0256 0.0759 0.0464 -516.6766 1.3487 1 2 0 0 0 0 0
11 6 nan nan 0.2768 0.0040 2.6518 0.1984 2.9731 0.2388 2.0628 0.1982 0.0126 0.0000 -804.3337 1.8944 2 1 0 0 0 0 0
11 6 nan nan 0.1099 0.0159 -15.2953 0.8648 1.8145 0.4099 0.5000 0.2017 0.0126 0.0000 -804.3337 1.8944 2 1 0 0 0 0 0
13 6 nan nan 0.4596 0.1034 1.7837 0.4080 2.2173 0.5975 2.5542 1.4180 0.0440 0.0042 -616.1783 1.6691 1 1 0 0 0 0 0
15 6 nan nan 0.6726 0.0659 1.2838 0.2357 1.8214 0.1841 3.0711 0.6418 0.0216 0.5701 -825.4122 1.0659 1 1 0 0 0 0 0
16 6 nan nan 0.2241 0.0435 2.6097 0.1695 1.9811 1.6951 1.1130 1.3534 0.0077 0.5925 -1049.1729 1.3626 2 1 0 0 0 0 0
16 6 nan nan 0.0958 0.0386 -2.5158 4.4193 4.2201 2.3479 1.0136 1.1988 0.0077 0.5925 -1049.1729 1.3626 2 1 0 0 0 0 0
17 6 nan nan 0.5917 0.1259 -13.8412 2.7235 11.0837 2.7235 16.4391 8.3971 0.2058 0.0000 -347.0496 1.6637 1 1 0 0 0 1 0
0 7 1.0000 3.8736 0.7713 0.0511 0.7308 0.2779 2.1636 0.1683 4.1831 0.6243 0.0517 0.1118 -608.7000 1.0425 1 1 0 0 0 0 0
1 7 2.0022 3.7419 0.6496 0.0894 5.9506 0.3313 2.7336 0.4477 4.4514 1.4417 0.0677 0.0425 -570.5280 0.9746 1 1 0 0 0 0 0
3 7 4.0041 2.4466 0.3283 0.0273 2.8305 0.3701 3.8705 0.3731 3.1849 0.5973 0.0276 0.0000 -710.3387 1.5693 1 1 0 0 0 0 0
4 7 nan nan 0.5334 0.0071 -0.3763 0.9472 1.7236 0.6971 2.3044 0.9753 0.0529 0.0387 -581.8505 1.2218 1 1 0 0 0 0 0
5 7 nan nan 0.5028 0.1448 1.4911 0.4837 1.9289 0.4852 2.4309 1.4875 0.0361 0.0001 -626.8907 1.5967 1 1 0 0 0 0 0
6 7 nan nan 0.7707 0.0233 0.7609 0.1575 1.8384 0.0824 3.5514 0.2715 0.0202 0.0798 -784.2726 1.2647 1 1 0 0 0 0 0
7 7 nan nan 0.3988 0.0524 2.7544 0.2829 2.5963 0.4246 2.5953 0.8213 0.0340 0.0010 -696.9208 1.4071 1 1 0 0 0 0 0
9 7 nan nan 0.5580 0.2182 3.4308 1.0029 1.7949 0.8400 2.5105 2.6164 0.0667 0.0422 -522.3670 1.3012 1 1 0 0 0 0 0
10 7 nan nan 0.3290 0.0507 3.5361 0.4268 1.8509 0.3290 1.5266 0.5483 0.0183 0.3003 -775.3520 1.2410 1 1 0 0 0 0 0
11 7 nan nan 0.3006 0.0314 3.7263 0.3855 3.0399 0.3569 2.2907 0.5367 0.0304 0.3757 -714.4112 1.0222 1 1 0 0 0 0 0
12 7 nan nan 0.5848 0.0822 -17.1642 0.7255 4.4743 0.7261 6.5589 2.1354 0.0880 0.0034 -493.2834 1.6107 2 1 0 0 0 0 0
12 7 nan nan 0.9605 0.0997 4.0671 0.4426 2.1324 0.2636 5.1342 1.2335 0.0880 0.0034 -493.2834 1.6107 2 1 0 0 0 0 0
13 7 nan nan 0.2542 0.0380 2.0754 0.3012 2.5839 0.4654 1.6467 0.5867 0.0224 0.0006 -743.7581 1.5096 1 1 0 0 0 0 0
14 7 nan nan 0.2891 0.0632 2.7098 0.2636 2.2576 0.5783 1.6360 0.8684 0.0228 0.0000 -730.3337 1.6630 1 1 0 0 0 0 0
15 7 nan nan 0.3380 0.0150 -4.1643 0.3005 5.8498 0.3005 4.9565 0.4865 0.0079 0.0000 -711.2395 14.5661 1 1 0 0 1 0 0
16 7 nan nan 0.1574 0.0250 -15.4557 1.1717 6.2483 1.2662 2.4658 0.9703 0.0347 0.6406 -701.2733 1.1846 2 1 0 0 0 0 0
16 7 nan nan 0.2927 0.0420 2.1787 0.4030 2.7695 0.5777 2.0321 0.7761 0.0347 0.6406 -701.2733 1.1846 2 1 0 0 0 0 0
17 7 nan nan 0.3072 0.0303 3.2432 0.2560 2.4396 0.2824 1.8785 0.4244 0.0213 0.0067 -794.4018 0.9554 1 1 0 0 0 0 0
